category,contents,language,lectureLink,lectureName,lecturer,level,numOfLectures,price,rating,siteIdx,subCategory,thumbnail,totalDuration,type
unknown,"학습 목표 및 주요내용(주제)인터넷의 원리인터넷 개념 및 응용                  프로그램 개념대표적인 인터넷 응용                  프로그램패킷 및 프로토콜 개요패킷(PACKET)개요프로토콜(PROTOCOL)개요TCP(Transmission Control Protocol)기능(1)통신 기능 개요 및                  공통통신 기능 TCP정확한 데이터 전송을                  위한TCP오류                    제어중간고사TCP기능(2)및IP(Internet Protocol)TCP흐름                    제어TCP혼잡 제어 및                    최종 목적지까지 패킷 배달 기능라우팅 프로토콜,                    LAN,계층 구조최적의 경로탐색 기능                  및 네트워크 접근 기능라우터 구성 및 동작                  개요,계층구조,캡슐화캡슐                    제거인터넷을 위한 필수 사항포트                  번호인터넷                  주소체계TCP접속                    관리기말고사",ko,http://www.kmooc.kr/courses/course-v1:AYUk+AYUK_IP_01+2020_T1/about,인터넷 프로토콜,최선완,6,8,0,4.3,16,unknown,http://www.kmooc.kr/asset-v1:AYUk+AYUK_IP_01+2020_T1+type@asset+block@섬네.jpg,195,on
unknown,1 Chisquare random variable1 Digital modulation and PAM1QAM and BDPSK over AWGN1 SC and SSC diversity schemes1 Example of MRT and Channel capacity of diversity system1 MIMO channel capacity1 MUMIMO,ko,http://www.kmooc.kr/courses/course-v1:KoreaUnivK+ku_eng_001+2020_A08/about,이동통신공학Ⅱ,고영채,6,7,0,4.3,16,unknown,http://www.kmooc.kr/asset-v1:KoreaUnivK+ku_eng_001+2020_A08+type@asset+block@이동통신공학_2_2020년도_상반기.jpg,677,on
unknown,사물 연결사물 프로그래밍사물 데이터사물 자동화사물 보안IoT 시스템 모델기말고사30%30%40%,ko,http://www.kmooc.kr/courses/course-v1:KHUk+SW_KH002+2020_SW01/about,사물인터넷과 4차산업사회,유인태,6,6,0,0,16,unknown,http://www.kmooc.kr/asset-v1:KHUk+SW_KH002+2020_SW01+type@asset+block@main_img_2019_5.png,360,on
unknown,"퀴즈2                퀴즈3                퀴즈2                퀴즈3                 퀴즈2                퀴즈3, 과제                퀴즈2                퀴즈3, 토론                퀴즈2                퀴즈3                                퀴즈4, 과제                퀴즈2                퀴즈3               퀴즈2                퀴즈2                퀴즈3, 과제                퀴즈2                퀴즈2                퀴즈3                퀴즈2                퀴즈3                              퀴즈2                퀴즈3                퀴즈2                퀴즈3, 토론                ",ko,http://www.kmooc.kr/courses/course-v1:SMUk+SMU2018_01+2020_1_T1/about,자료구조,대표교수,6,15,0,0,16,unknown,http://www.kmooc.kr/asset-v1:SMUk+SMU2018_01+2020_1_T1+type@asset+block@자료구조.png,663,on
unknown,"소프트웨어공학의 개요 [주제소프트웨어공학의 개요[학습목표1 소프트웨어  중요성을 설명할 수 있다2 소프트웨어의  오류의 발견 및 제거의 어려움을 설명할 수 있다[주제소프트웨어 프로젝트 실패 원인[학습목표1 소프트웨어  변경수정진화로 인한 문제점을 설명할 수 있다2 소프트웨어 프로젝트의 실패 원인과 이에 따른 소프트웨어공학의 필요성을 설명할 수 있다[주제소프트웨어공학의 정의[학습목표소프트웨어 공학의 영역요구공학설계개발방법론테스팅프로젝트관리형상관리유지보수프로세스품질재사용을 설명할 수 있다소프트웨어 프로세스와 생명주기[주제소프트웨어 프로세스 개요 및 정의 [학습목표1 프로세스와  절차의 차이점을 설명할 수 있다2 프로세스의  중요성을 설명할 수 있다[주제소프트웨어 생명주기 모델의 종류[학습목표순차형 모델의 특징과 차이점을 비교할 수 있다[주제점증적 모델[학습목표점증적 모델의 특징과 차이점을 비교할 수 있다프로젝트 관리[주제프로젝트 관리 개요[학습목표프로젝트의 성공과 실패 요인을 설명할 수 있다[주제소프트웨어 프로젝트의 문제점[학습목표1 명확하지 않은 요구사항변경수발주 문제점일정과 비용 관리 실패가 원인임을 설명할 수  있다2 국내 수발주 프로세스의 특징과 문제점을 설명할 수 있다[주제프로젝트의 관리 영역 [학습목표1 통합관리범위비용일정품질의사소통인적자원위험 관리에 대해 설명할 수 있다2 프로젝트 관리 프로세스를 설명할 수 있다[주제프로젝트 성공을 돕는 참조 모델[학습목표CMM,  CMMI, ISO 12207 에 대해 설명할 수 있다프로젝트 계획 및 통제[주제프로젝트 계획서[학습목표1 프로젝트  계획의 필요성을 설명할 수 있다2 스케쥴링작성활동을 수행할 수 있다[주제프로젝트 규모 산정[학습목표규모 산정 방법을 설명할 수 있다[주제프로젝트 일정 계획[학습목표퍼트간트차트를 작성할 수 있다기능점수 방법[주제기능점수 방법의 개요[학습목표프로젝트 유형에 따른 기능점수 방법을 식별할 수 있다2 데이터 기능점수를  계산할 수 있다[주제트랜잭션 기능점수[학습목표트랜잭션 기능점수를 계산할 수 있다2 기능점수에  조정인자 값을 적용할 수 있다[주제기능점수 계산 사례[학습목표카달로그 시스템에 기능점수를 적용할 수 있다프로젝트 모니터링 및 통제 방법[주제프로젝트 모니터링 및 통제 개요[학습목표1 프로젝트 통제 프로세스를 설명할 수 있다2  EVM의 필요성에 대해 설명할 수 있다[주제용어[학습목표의 지표를 계산할 수 있다[주제의 적용[학습목표을 실제 사례에 적용할 수 있다요구사항 개발 및 관리[주제요구사항의 정의[학습목표1 요구사항  개발의 중요성을 설명할 수 있다2 요구사항을  유형에 따라 분류할 수 있다[주제요구사항의 개발 절차[학습목표1 요구사항  추출 방법을 설명할 수 있다2 요구분석 방법을 설명할 수 있다[주제요구사항 명세화 및 검증 방법[학습목표명세화 원칙 및 검증 방법에 대해 설명할 수 있다객체지향 요구사항 분석[주제유스케이스 분석 방법론[학습목표1 UML 모델링 언어와  부치럼바우 야콥슨 모델의 특징을 설명할 수 있다2 4+1 뷰의 내용과  특징을 설명할 수 있다[주제유스케이스 다이어그램 작성법[학습목표1 다이어그램  구성요소와 다이어그램 작성 순서를 이해할 수 있다2 작성 시  유의사항을 설명할 수 있다[주제유스케이스 다이어그램 작성[학습목표게시판 시스템의 유스케이스와 기술서를 작성할 수 있다설계 원리 및 프로세스 지향 설계[주제설계의 정의 및 중요성[학습목표1 요구분석과  설계의 차이점을 비교할 수 있다2 설계의 종류  및 방법을 설명할 수 있다3 설계 원리를  설명할 수 있다[주제효과적인 모듈 설계[학습목표1 정보은닉응집력결합력에 대해 설명할 수 있다2 모듈설계 시 주의 사항을 설명할 수 있다3 프로세스지향 설계에 대해 설명할 수 있다[주제아키텍처 유형[학습목표아키텍처 유형의 종류인 중앙저장소계층구조의  특징을 설명할 수 있다객체지향 설계방법[주제객체지향 설계의 개념[학습목표1 객체의 속성행위정체성를 설명할 수 있다2 객체지향  설계의 특징을 설명할 수 있다3 클래스객체캡술화상속다형성을 설명할 수 있다[주제객체지향 설계 과정[학습목표1  UML 다이어그램의 종류를 식별할 수 있다2 클래스와 관계를 식별할 수 있다3 클래스 설계 원칙을 설명할 수 있다[주제디자인 패턴[학습목표1 디자인 패턴의  개념에 대해 설명할 수 있다2 디자인 패턴의  종류를 설명할 수 있다소프트웨어 테스팅[주제소프트웨어 테스팅 개요[학습목표1 소프트웨어  오류로 인한 사고 사례를 말할 수 있다2 테스팅의  정의 및 목적을 설명할 수 있다3 테스팅의  원칙을 설명할 수 있다[주제소프트웨어 테스팅의 유형과 종류[학습목표1 정적테스팅과 동적 테스팅을 구분할 수 있다2 리뷰인스펙션워크스루을  설명할 수 있다3 검증과 확인 활동의 차이점을 설명할 수 있다[주제단계별 테스팅 기법[학습목표1 V  모델과 각 단계별 테스팅 활동단위통합시스템인수 테스팅에 대해 설명할 수 있다2 테스팅 관리 활동을 설명할 수 있다[주제테스팅 자동화 도구[학습목표단계별 테스팅 및 품질관리 도구의 종류 및 기능에 대해 설명할 수 있다동적 테스팅[주제블랙박스 테스팅[학습목표1 블랙박스  테스팅의 필요성을 설명할 수 있다2 테스팅 환경  및 목적에 따라 신택스동등분할경계값 분석의사결정테이블 방법을 적용할 수 있다[주제화이트박스 테스팅[학습목표1 화이트박스  테스팅의 필요성을 설명할 수 있다2 테스팅 환경  및 목적에 따라 문장 커버리지분기 커버리지조건 커버리지다중조건 커버리지기본경로 테스팅을 적용할 수 있다위험관리 및 형상관리[주제위험관리[학습목표1 위험관리를  정의할 수 있고위험과 문제의 차이점을 식별할 수 있다2 위험관리  절차프로세스를 설명할 수 있다3 CMMI에서의 위험관리  활동을 설명할 수 있다[주제형상관리[학습목표형상관리의 중요성과 필요성을 설명할 수 있다형상관리 절차프로세스를 설명할 수 있다형상관리 참여자의 역할과 책임에 대해 설명할 수 있다[주제형상관리의 세부활동[학습목표1 형상식별형상제어형상  감사의 세부 활동을 설명할 수 있다2  CMMI에서의 형상관리 활동을 설명할 수 있다",ko,http://www.kmooc.kr/courses/course-v1:SWUk+WEUP_SWUK_07+2020_T2_2/about,소프트웨어공학,이병걸,6,14,0,0,16,unknown,http://www.kmooc.kr/asset-v1:SWUk+WEUP_SWUK_07+2020_T2_2+type@asset+block@소프트웨어공학_2020.png,809,on
unknown,"차시명(소주제)프로그래밍 기본개념파이썬 IDE 설치하기대화형 프로그램 처음 작성하기과제물 IDE 설치 스크린샷 업로드변수, 연산자 활용하기변수 활용하기연산자 소개, 활용하기과제물 연산자 활용한 코드 제출입출력과 조건문조건문의 이해조건문의 활용과제물 입출력문 활용한 코드 제출조건문과 반복문반복문의 이해과제물 조건문 활용한 코드 제출다양한 반복문for문, range함수 활용하기다중 for문 활용하기과제물 반복절 활용한 코드 제출예외처리, turtle로 그리기turtle 이해하기turtle 활용하면서 함수 소개과제물 예외처리 및 turtle 반복절 활용한 코드 제출문자열, 리스트리스트 이해하기문자열 및 리스트 활용하기과제물 문자열 및 리스트 활용한 코드 제출함수함수 정의와 변수함수 활용과 랜덤함수과제물 함수를 활용한 코드 제출함수, 모듈다양한 모듈 활용재귀함수의 이해과제물 함수와 모듈을 활용한 코드 제출튜플, 딕셔너리딕셔너리의 이해리스트, 튜플, 딕셔너리 활용과제물 튜플 및 딕셔너리 활용한 코드 제출파일 입출력파일 입출력 함수 활용파일 입출력 활용시 예외처리과제물 파일 입출력 함수를 활용한 코드 제출이미지 처리, tkintertkinter 이해하기tkinter 활용하기과제물 Pillow 설치 인증화면 업로드tkinter, 객체지향프로그래밍객체지향프로그래밍 이해 2과제물 tkinter 활용한 스크린샷 업로드기말고사25%",ko,http://www.kmooc.kr/courses/course-v1:HGUk+HGU02+2020_T1/about,파이썬 프로그래밍,김경미,6,14,0,4.3,16,unknown,http://www.kmooc.kr/asset-v1:HGUk+HGU02+2020_T1+type@asset+block@파이썬_프로그래밍_대표_이미지_v3.jpg,637,on
unknown,"1 Introduction1 System capacity in cellular system1Path loss1 CNR, Noise figure, SNR, and Link budget1 Delay spread and Delay profile1 Doppler frequency shift1 Average channel gain",ko,http://www.kmooc.kr/courses/course-v1:KoreaUnivK+ku_eng_001+2020_A07/about,이동통신공학Ⅰ,고영채,6,7,0,4.3,16,unknown,http://www.kmooc.kr/asset-v1:KoreaUnivK+ku_eng_001+2020_A07+type@asset+block@이동통신공학_1_2020년도상반기.jpg,693,on
unknown,강좌소개Q & A산업혁명의 역사 및 4차 산업혁명 개요산업혁명의 역사 및 4차 산업혁명 개요	(1)산업혁명의 역사 및 4차 산업혁명 개요	(2)4차 산업혁명 특징 및 전망4차 산업혁명 특징 및 전망(1)4차 산업혁명 특징 및 전망(2)사물인터넷 개요사물인터넷 개요(1)사물인터넷 개요(2)사물인터넷 표준화사물인터넷 표준화(1)사물인터넷 표준화(2)사물인터넷 통신 및 네트워크사물인터넷 통신 및 네트워크(1)사물인터넷 통신 및 네트워크(2)사물인터넷 플랫폼사물인터넷 플랫폼(1)사물인터넷 플랫폼(2)사물인터넷 디바이스I사물인터넷 디바이스I(1)사물인터넷 디바이스I(2)사물인터넷 디바이스II사물인터넷 디바이스II(1)사물인터넷 디바이스II(2)사물인터넷과 클라우드사물인터넷과 클라우드(1)사물인터넷과 클라우드(2)사물인터넷으로 여는 스마트 홈사물인터넷으로 여는 스마트 홈(1)사물인터넷으로 여는 스마트 홈(2)사물인터넷으로 여는 스마트 팜사물인터넷으로 여는 스마트 팜(1)사물인터넷으로 여는 스마트 팜(2)사물인터넷으로 여는 스마트 공장사물인터넷으로 여는 스마트 공장(1)사물인터넷으로 여는 스마트 공장(2)사물인터넷으로 여는 스마트 헬스케어사물인터넷으로 여는 스마트 헬스케어(1)사물인터넷으로 여는 스마트 헬스케어(2)사물인터넷으로 여는 스마트 도시I사물인터넷으로 여는 스마트 도시I(1)사물인터넷으로 여는 스마트 도시I(2)사물인터넷으로 여는 스마트 도시II사물인터넷으로 여는 스마트 도시II(1)사물인터넷으로 여는 스마트 도시II(2)40%,ko,http://www.kmooc.kr/courses/course-v1:JEJUk+JEJU14k+2020_1/about,사물인터넷으로 여는 스마트 세상,김도현,6,15,0,4.0,16,unknown,http://www.kmooc.kr/asset-v1:JEJUk+JEJU14k+2020_1+type@asset+block@main_제작용_.png,480,on
unknown,"DevOps와 오픈소스 소프트웨어                   DevOps의 기초, 로컬 개발 이해                   DevOps를 위한 도커 이해                   도커를 활용한 DevOps 환경 구축                   정적분석과 소스 품질                  소스코드리팩토링                  자동화 테스트                  60%                ",ko,http://www.kmooc.kr/courses/course-v1:KAISTk+2018_K15+2020_K15_01/about,오픈소스를 활용한 DevOps 환경 이해,이정민,6,8,0,4.5,16,unknown,http://www.kmooc.kr/asset-v1:KAISTk+2018_K15+2020_K15_01+type@asset+block@오픈소스를-활용한-DevOps-환경-이해.png,600,on
unknown,Microservice 개념과 특성                Microservice Outer Architecture                Microservice Architecture 적용을 위한 기법                Microservice 최적의 Architecture                도메인 주도 설계의 이해                마이크로서비스 도출을 위한 전략적 설계                전술적 설계                Microservice 구현                60%              ,ko,http://www.kmooc.kr/courses/course-v1:KAISTk+2018_K14+2020_K14_01/about,Microservice 설계 및 구현,한정헌,6,8,0,4.4,16,unknown,http://www.kmooc.kr/asset-v1:KAISTk+2018_K14+2020_K14_01+type@asset+block@Microserive-설계-및-구현.png,600,on
